# normalized time series: wt37d_r1
# normalized with: rho0_r1, wt_r1, wt_r2, wt37d_r1
# algorithm: RMA 
# by: Gary Koplik (gary.koplik@geomdata.com) 
# on: 2018-06-29
# 
probes	wt37d_r1__num_00001	wt37d_r1__num_00002	wt37d_r1__num_00003	wt37d_r1__num_00004	wt37d_r1__num_00005	wt37d_r1__num_00006	wt37d_r1__num_00007	wt37d_r1__num_00008	wt37d_r1__num_00009	wt37d_r1__num_00010	wt37d_r1__num_00011	wt37d_r1__num_00012	wt37d_r1__num_00013	wt37d_r1__num_00014	wt37d_r1__num_00015
1769308_at	11.2414324809602	10.7667958380444	10.533212077091	10.0715804540141	9.88640224640339	9.57252304363587	9.78178912006782	9.90894658884189	9.96749521689697	9.83458446607499	9.87370252530442	9.79921523734269	9.80655539731205	9.78295814281579	10.0285522660867
1769311_at	10.5846455896194	10.8743878006808	11.6791925688946	11.9452404561777	12.0983707728656	12.0614460262213	11.8052455263815	11.811147841204	11.7891699888365	11.9693086782326	12.0433350581525	11.9644771467419	11.8285549943289	12.0116760982256	12.03059487755
1769312_at	8.89224703468773	8.28029274524989	7.97819352193064	7.84081624926107	7.86055555142572	7.93122030553034	8.30168293161231	8.08421597905235	8.18627428833117	7.90842497971563	8.20895747733256	7.98724154792116	7.99946882116366	8.24092757479376	8.34143061881945
1769313_at	9.65825150361307	9.25093729264533	8.77298297973986	8.35398258460199	8.17717867555895	8.23784036369053	8.01848118409765	8.34035595679341	8.41157316581892	8.44919672782749	8.48175034026721	8.4099186568529	8.49983637291527	8.44809259398005	8.65140870705235
1769314_at	10.8054505333204	10.7675359944794	10.5664588096736	10.9377739456337	10.9456065906211	10.5786887177792	10.5436198191201	10.3993905452219	10.5902478906125	10.3703416475887	10.1826660678959	10.1297254202278	10.3214680876081	10.1360059611847	10.0994772808429
1769317_at	5.09276828516808	6.67864767571914	7.24741493024238	7.75252277534094	7.31567065861373	7.36077422887384	7.92794918210572	7.58595188675479	7.70322685619042	7.33136969936388	7.36665738104045	7.47490852684506	7.1116118473019	7.0251099598124	6.92815575973935
1769319_at	10.7030323468591	10.8174006656686	10.7073026806749	10.7636682370631	10.8104828514865	10.6352805028098	10.8010641778365	10.8612921460371	10.8769999368641	10.7956604339517	10.6728200217341	10.6892294737634	10.5761373839965	10.6519285588962	10.5089699103579
1769320_at	8.61649813816451	8.59630706640558	7.96339865629306	7.88378192462342	7.79750330448343	7.71050786624306	7.85505843452525	7.58610361884521	7.6360999092516	7.56930798341817	7.52938427073848	7.55142786277781	7.48262550314758	7.47582676118956	7.61255661718513
1769321_at	10.2433605472972	10.1708693809077	10.0121395031638	10.2736435233543	10.1832971372271	9.94765844374919	10.1925584581621	10.2248516386354	10.2622777627679	10.1655381678037	9.98989752500001	9.97899996976362	9.90778540710373	9.96604578555399	9.89939501860754
1769322_s_at	8.57563965512085	9.38107052535489	9.1997039826642	9.57915191192858	9.68060846022011	10.4750249000117	9.67504110028477	9.57691624637478	9.62267055653738	9.81119828975064	9.96306364514193	9.94692909020193	9.32963423831565	9.64702626830437	9.62113286763974
1769323_at	9.761905337775	9.52938672512957	9.34560452395549	8.85539991242179	9.01992449896103	9.19991020480503	9.0485353398258	8.93809328266636	8.90837685030604	9.00686504387548	9.15080074953523	9.16508309671548	9.17853190094427	9.29102595005217	9.04651149245159
1769324_at	8.85871727653899	8.74804300413095	8.69161556136088	8.45031669263185	8.53038949323466	8.47217831760737	8.53643053938803	8.31249166600555	8.55752849313251	8.5888740292723	8.82432392649285	8.56251443002488	8.40461106785037	8.47985814365566	8.53388889032465
1769325_at	7.64647363554174	6.76461946601139	6.8150232846271	6.44930278325262	6.57506470009693	6.67267099388443	6.48381439038642	6.68939434247062	6.76580090883969	6.72117382692906	6.82044478936108	6.68278347446984	6.84303746433999	6.96034777127072	6.92989311032475
