# normalized time series: wt37d_r1
# normalized with: rho0_r1, wt_r1, wt_r2, wt37d_r1
# algorithm: dChip 
# by: Gary Koplik (gary.koplik@geomdata.com) 
# on: 2018-06-29
# 
probes	wt37d_r1__num_00001	wt37d_r1__num_00002	wt37d_r1__num_00003	wt37d_r1__num_00004	wt37d_r1__num_00005	wt37d_r1__num_00006	wt37d_r1__num_00007	wt37d_r1__num_00008	wt37d_r1__num_00009	wt37d_r1__num_00010	wt37d_r1__num_00011	wt37d_r1__num_00012	wt37d_r1__num_00013	wt37d_r1__num_00014	wt37d_r1__num_00015
1769308_at	3337.22755988226	2554.5094744951	2202.55218510162	1697.0124094773	1541.59217960188	1306.71776979027	1474.26911928447	1578.2335364093	1645.61191018011	1627.85914342334	1598.69051578871	1502.67672429925	1500.77251966838	1545.69589198389	1802.74171990438
1769311_at	2438.20754447991	3014.37023673407	4770.75161146462	5370.19719733239	5845.66060418323	5782.76491350553	5179.94254122775	4893.21378855297	4920.69656087338	5366.55767385944	5567.32099347327	5146.94321025169	4905.1370190784	5367.15124674987	5561.43372179005
1769312_at	1300.94549989078	1008.33195781783	864.788735600289	837.240438657857	825.945534704355	909.735336722521	1040.63247800143	1012.36751119847	957.482211866197	947.009243556256	991.10992494078	1032.20918614975	1148.791126088	1074.3757310322	1104.87527390761
1769313_at	1531.11980870254	1181.4891769919	969.221667252815	705.948711271176	658.390777547247	693.104463201376	766.026002728402	736.481780305538	728.746038690801	737.192965158391	766.411642763746	741.423904318146	775.502657498919	797.814585062076	838.756583017483
1769314_at	2306.63789306122	2484.75093410213	2225.20843880363	2587.42353754053	2738.81283384987	2228.12213336278	2048.83024871975	1977.86526026217	2240.61940163116	1972.39565837506	1834.47968589199	1656.18451365614	1799.67804417096	1770.6193107031	1748.26903309274
1769317_at	294.360841535381	399.167834694578	637.537829576704	710.67414447154	646.951323304582	713.061550365888	853.825868901226	736.811804675317	708.839793147294	674.37858113021	637.6256667513	721.424420415274	579.183330869867	593.990477656508	559.040137152434
1769319_at	2667.72613259611	2680.98637384103	2817.39456177264	3028.39502896256	3014.89750668268	2917.67772923849	3242.14981518009	3277.56531482504	3085.4060220194	3132.47666477813	3024.34337748572	3027.04935553907	2854.503008992	3146.64359854772	2767.4146664224
1769320_at	907.952279699471	965.296856585666	640.599629585925	566.193920391492	564.328102212408	571.140766679388	570.209977369663	531.740730439989	499.452518561824	469.599929409884	481.219253578077	493.412198330369	501.151664268143	467.385517161008	469.225200996136
1769321_at	1554.56272115709	1471.77222212579	1443.80603221844	1632.26867574375	1500.09486992243	1341.91942063853	1534.86713314308	1543.2959242519	1643.2217920316	1469.22252926677	1353.87034690993	1383.05729024123	1361.55425944941	1392.82229176454	1250.27277477591
1769322_s_at	631.720854719542	919.884530563159	1082.21210910353	1376.37102010883	1438.79786537334	2263.97922906165	1539.87320438432	1534.25041078702	1341.99822995031	1600.43827227063	1787.37193531835	1832.4625187414	1214.85590593472	1493.44933780279	1415.45705398421
1769323_at	1709.29126396548	1481.63761339222	1493.58483518365	1144.59986001752	1174.7897362776	1335.02190041276	1333.92121682494	1153.21655400529	1167.15317142459	1224.09506670638	1254.36812647222	1314.30756857728	1296.65799724281	1381.82660528398	1259.18201944159
1769324_at	781.143364492082	766.759111958844	791.616847347672	669.617065928193	692.420591478917	733.269530849975	711.720813830018	665.492963566647	721.298624201516	758.180537474233	798.460753933626	679.689329346962	657.84160610698	712.551820031537	723.275899745326
1769325_at	474.476746205494	351.490914286997	329.987976662797	288.91116408245	287.946232219327	312.250058183313	312.009351301466	320.039083907665	318.668330883458	323.553595986581	339.612932199639	315.322641232225	352.356772236055	359.391713373488	374.581375318866
1769329_at	3020.69416722329	3267.99602933052	2913.87810509489	2680.94024779047	2746.39722104855	2731.67469511212	2899.49876488527	2977.12470899293	2716.95911584357	2852.01368715125	2697.72289766575	2622.66367651132	2357.21967708491	2412.60152730377	2512.74573915964
1769331_at	1506.94872282096	1600.86516501198	2289.86119751222	1882.81955734129	1601.69776097185	1839.45535040025	1657.46627313612	1562.6639248369	1469.33037213093	1523.75130266249	1527.18561754182	1509.48395735904	1592.66756001289	1532.24370251816	1572.31299153484
1769333_at	489.861314581108	666.13207315925	448.68695688276	407.031797151677	347.964819448702	334.682063043278	411.670284179099	329.682201446662	362.101669668272	376.157708266439	334.824095532328	346.926774272494	317.689530096694	285.380651135487	294.223240625194
1769335_at	3744.65597033917	3486.87615667568	4373.26532340979	3775.33420019583	3997.62513836059	4319.07386397613	4328.33478146938	4081.37370831596	3951.7138458229	4225.95299410144	4354.22357411631	4084.99016199493	4182.18432382791	4412.98372781535	4340.81846587856
1769336_at	355.621363207385	348.86092032637	380.884626679804	537.944173939905	789.229589986105	850.813103424967	718.697304158523	560.842606337009	542.760498267318	630.127261321772	700.545798615432	660.290599628372	626.310760211391	557.994604628989	608.738137168197
1769338_at	259.262514651178	222.272989707704	277.043249287745	352.155867060529	320.241535302219	314.074756775275	341.998132999674	264.84918586308	261.704252751738	246.698629900954	230.744988894286	209.000888819504	229.74523475786	237.817133995983	250.164718256727
1769339_at	1148.70853915289	1261.06589758219	1333.50577313754	1707.18066723097	1511.30146757961	1437.12179232092	1655.15548933325	1530.36883036877	1593.91079244984	1431.22687725738	1337.36748215851	1362.27401694904	1622.25841666074	1541.95092764803	1469.65688960944
1769341_at	4138.70393181434	4533.19653366501	5458.05009622811	5698.42746984943	6360.68666443238	6165.07548153028	6349.74212484352	6148.15587580579	5437.9363160183	5916.66535673081	6037.05059614843	5952.09259970239	5189.68201177695	4730.15735985934	5011.43443296994
1769342_at	452.927419331017	396.461023452017	236.45131631679	192.992411290621	157.059203854834	153.085975807921	154.589113289998	129.050365263742	133.058478365918	130.789956607882	127.873241711789	124.294629273371	130.181219542395	120.373787511785	137.331083583068
1769344_at	5962.09069958271	6278.8300897218	6995.75806380865	6669.79006194762	7461.36673295858	7907.01642417183	6181.89311251039	5822.53986642158	5928.06400186233	7011.87435381615	6933.7057109825	6484.16873738666	5860.20977237859	5944.42459134008	7279.95180690338
1769345_at	994.502306684279	1000.00223816816	1032.6222089535	883.700151233466	929.852124452061	865.324669667335	935.765012039015	928.043468851692	944.687478596577	952.476605453251	968.919752003103	889.200340341482	900.092673776387	979.211466978433	965.095646951796
1769346_at	1167.59823222514	1263.64242467036	1270.80653594786	1200.97695442867	1239.26412481954	1420.41435286468	1348.82783645974	1498.37237324454	1420.24732274494	1416.59077320917	1479.77354665839	1501.33894570902	1344.60602034087	1461.61153307	1507.56562561628
1769349_s_at	2924.31937183351	2590.3392799939	1571.78833754752	1253.10290286962	1271.51289724497	1847.32093711278	1924.93102786311	1908.24095813187	1806.06961611151	2314.22908100473	2864.72849769451	2974.32496111885	2434.74248041959	2432.23990506412	2943.81218584977
1769350_at	416.093027220869	337.560033609271	386.614680563345	429.384242918367	554.610910410147	753.482004732774	655.887592525015	559.670744287257	529.243415771494	592.645695521735	701.648237235045	671.148658335122	662.092035805871	636.695893851993	659.166764203062
1769352_at	495.191893811063	491.948453765708	553.339749698377	951.183619859271	879.788605179221	690.596687820689	940.731247837982	918.756677876053	913.548312561237	785.71753278377	681.143576791336	685.819535077613	640.066892351961	537.857282910197	537.585372451374
1769356_at	3622.23022124569	3721.03990832121	3819.27807964934	2933.36234637127	3432.24010065146	3858.95526807612	3237.08886132983	3309.28085539856	3269.29693802119	3706.12151472474	3974.46752881268	3838.07098838587	3421.68323135635	3722.76921210973	4097.89922372395
1769358_at	763.26435959882	686.722433829336	600.292587382202	569.23439997662	558.977392362243	566.289691045482	574.650652028051	463.874385919346	507.268325503956	476.201686133349	452.877131107447	410.384295005401	451.904621103189	475.101444430481	481.565145032587
1769359_at	359.184768927316	358.863293606899	343.072524794516	411.454177619662	369.867267695525	362.794192961206	385.299902216633	352.476852629224	368.195194275235	338.416531254818	331.557884367727	326.158787631631	385.016783492744	349.222016991899	364.413318667907
1769361_at	887.484354003738	773.716134634225	623.781499915965	541.358566508302	510.730319116223	520.925234530087	524.553652346831	542.346973362277	549.797331678426	537.199004187364	553.347570789083	532.899490266921	557.412804731062	585.285262252636	551.128514449379
1769362_at	7416.25791784596	9095.71754282243	9863.86551661474	10174.5767914738	10114.1444475633	9450.48194450082	10671.732936604	10875.4928998882	9762.53351509134	9734.62939099371	10043.9188615202	10571.6826564401	10504.6049623734	9884.9141471796	9690.71686299777
